Municipalidad;Grupo Vehiculo;Placa;Digito;Codigo SII;Ano Vehiculo;Tasacion;Tipo de Pago;Valor_Neto;Valor_IPC;Valor_Multa;Valor Pagado;Forma Pago;Fecha_Pago;Ano Permiso;Tipo Vehiculo;Marca;Modelo;Color;Transmision;Tipo Combustible;Cilindrada;Equipamiento;Numero Puertas
Calbuco;Vehiculo Liviano;FWJB-30;9;SU176018913;2013;5284070;Presencial;36719;382;1581;38682;2da. Cuota;22-11-2023;2023;STATION WAGON;NISSAN;QASHQAI;NEGRO METALICO;Mec;Benc;1600;Full;4
Calbuco;Vehiculo Liviano;BRJR-91;8;SU111006808;2008;5100719;Presencial;74566;1624;7989;84179;Total;22-11-2023;2023;STATION WAGON;HYUNDAI;SANTA FE;BLANCO PERLA;Mec;Dies;2200;Full;4
Calbuco;Transporte Publico;KWGP-28;4;NULL;2019;1;Presencial;69713;883;5756;76352;Total;23-11-2023;2023;TAXI BASICO;VOLKSWAGEN;VOYAGE POWER 1.6;NEGRO AMARILLO;MEC;BENC;1600;FULL;0
Calbuco;Vehiculo Liviano;KXTK-21;7;SU227051619;2019;14525357;Presencial;173685;1808;7479;182972;2da. Cuota;23-11-2023;2023;STATION WAGON;SUBARU;FORESTER;GRIS OSCURO METALICO;Aut;Benc;2000;NULL;4
Calbuco;Carga;HTZS-18;1;NULL;2021;0,5;Presencial;31980;254;0;32234;Total;24-11-2023;2023;TRACTOR;LOVOL;EUROPARD TD 824;ROJO;NULL;NULL;NULL;NULL;0
Calbuco;Vehiculo Liviano;YVV-343;2;NULL;2023;0,5;Presencial;31657;772;0;32429;Total;24-11-2023;2023;CARRO ARRASTRE A;S/M;HECHIZO;GRIS;NULL;NULL;NULL;NULL;0
Calbuco;Vehiculo Liviano;XV-5248;2;HB050003804;2004;1153330;Presencial;35456;772;3799;40027;Total;24-11-2023;2023;AUTOMOVIL;CHEVROLET;CORSA;ROJO LYRA;Mec;Benc;1600;Norm;2
Calbuco;Vehiculo Liviano;GBSS-49;1;CT079017214;2014;7921489;Presencial;145177;3162;15555;163894;Total;24-11-2023;2023;CAMIONETA;FORD;RANGER DIESEL 4X2 XL;ROJO  BARI;Mec;Dies;3200;Equi;4
Calbuco;Vehiculo Liviano;DVFY-73;2;CO184011112;2012;5084120;Presencial;74185;1616;7948;83749;Total;27-11-2023;2023;FURGON;PEUGEOT;EXPERT FURGON L2H1 HDI PACK;BLANCO BANQUIS;Mec;Dies;1600;Full;4
Calbuco;Vehiculo Liviano;DVFY-73;2;CO184011112;2012;5114310;Presencial;104174;10513;24040;138727;Total;27-11-2023;2022;FURGON;PEUGEOT;EXPERT FURGON L2H1 HDI PACK;BLANCO BANQUIS;Mec;Dies;1600;Full;4
Calbuco;Vehiculo Liviano;DVFY-73;2;CO184011112;2012;5160415;Presencial;133275;17429;43224;193928;Total;27-11-2023;2021;FURGON;PEUGEOT;EXPERT FURGON L2H1 HDI PACK;BLANCO BANQUIS;Mec;Dies;1600;Full;4
Calbuco;Vehiculo Liviano;DVFY-73;2;CO184011112;2012;5499814;Presencial;164349;21572;62585;248506;Total;27-11-2023;2020;FURGON;PEUGEOT;EXPERT FURGON L2H1 HDI PACK;BLANCO BANQUIS;Mec;Dies;1600;Full;4
Calbuco;Vehiculo Liviano;HTZR-78;9;CT111007322;2022;20849245;Presencial;304139;3167;13097;320403;2da. Cuota;27-11-2023;2023;CAMIONETA;HYUNDAI;HD 35;BLANCO;Mec;Dies;2500;NULL;2
Calbuco;Vehiculo Liviano;DSHK-87;4;CT235011512;2012;5823612;Presencial;42493;442;1830;44765;2da. Cuota;27-11-2023;2023;CAMIONETA;TOYOTA;HILUX;BLANCO;Mec;Dies;2500;Equi;4
Calbuco;Vehiculo Liviano;FYSB-22;5;SU111009914;2014;7325422;Presencial;58566;610;2522;61698;2da. Cuota;27-11-2023;2023;STATION WAGON;HYUNDAI;TUCSON;DORADO;Aut;Benc;2000;Full;4
Calbuco;Carga;FN-3589;3;NULL;1989;2;Presencial;131757;1015;3838;136610;Total;27-11-2023;2023;CAMION;FORD;F 14000;ROJO;MEC;DIES;0;NORM;0
Calbuco;Carga;YJ-2055;K;NULL;2005;3;Presencial;97282;666;1438;99386;2da. Cuota;27-11-2023;2023;CAMION;VOLVO;VM 23;BLANCO;MEC;DIES;0;EQUI;0
Calbuco;Vehiculo Liviano;KSVY-74;5;HB229015618;2018;6700620;Presencial;51879;540;2234;54653;2da. Cuota;27-11-2023;2023;AUTOMOVIL;SUZUKI;BALENO;NEGRO;Mec;Benc;1400;Full;4
Calbuco;Vehiculo Liviano;KTWP-39;6;CO018000619;2019;4483820;Presencial;28154;293;1212;29659;2da. Cuota;27-11-2023;2023;FURGON;BAIC;PLUS;BLANCO;Mec;Benc;1200;Norm;4
Calbuco;Vehiculo Liviano;WK-9784;K;HB243018407;2007;3338735;Presencial;17865;186;769;18820;2da. Cuota;28-11-2023;2023;AUTOMOVIL;VOLKSWAGEN;GOLF;PLATEADO METALICO;Aut;Benc;2000;Full;4
Calbuco;Vehiculo Liviano;FDWZ-64;5;SD235020214;2014;3808270;Presencial;44892;978;4810;50680;Total;28-11-2023;2023;AUTOMOVIL;TOYOTA;YARIS SEDAN XLI;NEGRO;Mec;Benc;1500;Equi;4
Calbuco;Vehiculo Liviano;FDWZ-64;5;SD235020214;2014;3838460;Presencial;65993;6660;15229;87882;Total;28-11-2023;2022;AUTOMOVIL;TOYOTA;YARIS SEDAN XLI;NEGRO;Mec;Benc;1500;Equi;4
Calbuco;Vehiculo Liviano;FDWZ-64;5;SD235020214;2014;3884516;Presencial;86445;11305;28036;125786;Total;28-11-2023;2021;AUTOMOVIL;TOYOTA;YARIS SEDAN XLI;NEGRO;Mec;Benc;1500;Equi;4
Calbuco;Vehiculo Liviano;FDWZ-64;5;SD235020214;2014;4140000;Presencial;108612;14256;41360;164228;Total;28-11-2023;2020;AUTOMOVIL;TOYOTA;YARIS SEDAN XLI;NEGRO;Mec;Benc;1500;Equi;4
Calbuco;Vehiculo Liviano;HGGH-86;8;SD184024417;2017;6436668;Presencial;49055;511;2112;51678;2da. Cuota;28-11-2023;2023;AUTOMOVIL;PEUGEOT;301;NEGRO GRIS;Mec;Dies;1600;Full;4
Calbuco;Vehiculo Liviano;WU-3133;4;SD079011507;2007;2501044;Presencial;35456;772;3799;40027;Total;28-11-2023;2023;AUTOMOVIL;FORD;FIESTA SEDAN TREND 1.6L;BLANCO;Mec;Benc;1600;Equi;4
Calbuco;Vehiculo Liviano;WU-3133;4;SD079011507;2007;2526307;Presencial;40730;4110;9399;54239;Total;28-11-2023;2022;AUTOMOVIL;FORD;FIESTA SEDAN TREND 1.6L;BLANCO;Mec;Benc;1600;Equi;4
Calbuco;Vehiculo Liviano;WU-3133;4;SD079011507;2007;2083002;Presencial;46777;6117;15171;68065;Total;28-11-2023;2021;AUTOMOVIL;FORD;FIESTA SEDAN TREND 1.6L;BLANCO;Mec;Benc;1600;Equi;4
Calbuco;Carga;GFHB-18;9;NULL;2010;3;Presencial;197635;1523;5756;204914;Total;28-11-2023;2023;CAMION;SCANIA;R124;BLANCO;MEC;DIES;0;EQUI;0
Calbuco;Vehiculo Liviano;LBLS-62;6;HB132009219;2019;5631427;Presencial;86751;1889;9295;97935;Total;29-11-2023;2023;AUTOMOVIL;KIA MOTORS;MORNING;ROJO VIVO;Mec;Benc;1000;Equi;4
Calbuco;Vehiculo Liviano;YVV-158;0;NULL;2016;0,5;Presencial;35456;772;3799;40027;Total;29-11-2023;2023;CARRO ARRASTRE A;S/M;HECHIZO;ROJO;NULL;NULL;NULL;NULL;0
Calbuco;Vehiculo Liviano;JCJD-21;5;CT235013716;2016;10232229;Presencial;104766;1091;4511;110368;2da. Cuota;29-11-2023;2023;CAMIONETA;TOYOTA;HILUX;ROJO METALICO;Mec;Dies;2500;Full;4
Calbuco;Vehiculo Liviano;RWXV-76;5;CT079019822;2022;27455000;Presencial;452883;4715;19502;477100;2da. Cuota;29-11-2023;2023;CAMIONETA;FORD;RANGER;GRIS MERCURIO;Mec;Dies;2200;NULL;4
Calbuco;Carga;WE-6155;9;NULL;2006;2;Presencial;131757;1015;3838;136610;Total;29-11-2023;2023;CAMION;MITSUBISHI;CANTER;BLANCO ESCOCIA;NULL;NULL;NULL;NULL;0
Calbuco;Vehiculo Liviano;HVDF-36;8;CT231001416;2016;6995319;Presencial;118066;2571;12650;133287;Total;29-11-2023;2023;CAMIONETA;TATA;XENON;BLANCO;Mec;Dies;2200;Full;4
Calbuco;Vehiculo Liviano;CBLZ-78;5;HB229009210;2010;1327089;Presencial;35456;772;3799;40027;Total;30-11-2023;2023;AUTOMOVIL;SUZUKI;ALTO;PLATEADO PLATA;Mec;Benc;800;Norm;4
Calbuco;Vehiculo Liviano;SKCK-31;K;SU049001823;2023;11143500;Presencial;119394;1243;5141;125778;2da. Cuota;30-11-2023;2023;STATION WAGON;CHERY;TIGGO 2;ROJO METALIZADO;Mec;Benc;1500;NULL;4
Calbuco;Transporte Publico;FDZB-90;K;NULL;2020;1;Presencial;69713;883;5756;76352;Total;30-11-2023;2023;TAXI BASICO;CITROEN;C-ELYSEE 1.6 HDI 92 SHINE;NEGRO AMARILLO;MEC;DIES;1600;FULL;0
Calbuco;Vehiculo Liviano;TVY-085;0;NULL;2022;4370000;Presencial;57789;1258;6192;65239;Total;30-11-2023;2023;Moto;ROYAL ENFIELD;HIMALAYAN;PLATEADO PLATA;NULL;NULL;NULL;NULL;0
Calbuco;Vehiculo Liviano;JKJB-83;K;CT079018317;2017;19301469;Presencial;271010;2822;11670;285502;2da. Cuota;30-11-2023;2023;CAMIONETA;FORD;F150;AZUL;Aut;Benc;5000;Full;4
Calbuco;Vehiculo Liviano;HTLB-27;8;CT176032916;2016;11288616;Presencial;121725;1267;5242;128234;2da. Cuota;30-11-2023;2023;CAMIONETA;NISSAN;NP300 DC XE 2.3D MT 4WD;ROJO;Mec;Dies;2300;Full;4
Calbuco;Vehiculo Liviano;RJDF-53;2;NULL;2022;13907421;Presencial;166937;2480;9449;178866;2da. Cuota;01-12-2023;2023;STATION WAGON;MITSUBISHI;ASX GLS4X2 1.6 MT;GRIS GRAFITO;NULL;NULL;NULL;NULL;0
Calbuco;Vehiculo Liviano;WW-6572;3;SD050021607;2007;1816208;Presencial;41379;4246;9912;55537;Total;01-12-2023;2022;AUTOMOVIL;CHEVROLET;CORSA EXTRA NB 1.6 PWR;PLATA POLARIS;Mec;Benc;1600;Norm;4
Calbuco;Vehiculo Liviano;WW-6572;3;SD050021607;2007;1798046;Presencial;36071;896;4290;41257;Total;01-12-2023;2023;AUTOMOVIL;CHEVROLET;CORSA EXTRA NB 1.6 PWR;PLATA POLARIS;Mec;Benc;1600;Norm;4
Calbuco;Carga;WR-4582;K;NULL;2007;3;Presencial;99112;1047;2887;103046;2da. Cuota;01-12-2023;2023;CAMION;FORD;C 1722;ROJO;NULL;NULL;NULL;NULL;0
Calbuco;Carga;DFFS-20;5;NULL;2011;3;Presencial;99112;1047;2887;103046;2da. Cuota;01-12-2023;2023;CAMION;MERCEDES BENZ;L 1624;BLANCO;NULL;NULL;NULL;NULL;0
Calbuco;Vehiculo Liviano;RJTD-51;5;SU235016722;2022;14090600;Presencial;169936;2525;9619;182080;2da. Cuota;01-12-2023;2023;STATION WAGON;TOYOTA;RUSH;PLATEADO SILVER MICA;Mec;Benc;1500;NULL;5
